ID_PGTO;ID_RCBE;VL;DS_TRAN;DT_REFE;
CNPJ_07089;CNPJ_06663;26344;BOLETO;2025-03-31;
CNPJ_08227;CNPJ_00656;78420;TED;2025-03-14;
CNPJ_07268;CNPJ_09010;366;PIX;2025-03-15;
CNPJ_00122;CNPJ_01869;282687;PIX;2025-03-11;
CNPJ_07991;CNPJ_06276;203791;PIX;2025-03-08;
CNPJ_00365;CNPJ_00652;43608;PIX;2025-03-31;
CNPJ_02677;CNPJ_04618;29411;PIX;2025-03-28;
CNPJ_01061;CNPJ_03599;46725;PIX;2025-03-30;
CNPJ_01772;CNPJ_05112;38421;BOLETO;2025-03-30;
CNPJ_03911;CNPJ_08585;96543;PIX;2025-03-17;
CNPJ_01772;CNPJ_02413;164216;PIX;2025-03-03;
CNPJ_08241;CNPJ_03469;196093;PIX;2025-03-20;
CNPJ_03349;CNPJ_03019;36777;PIX;2025-03-21;
CNPJ_02812;CNPJ_09368;87013;PIX;2025-03-22;
CNPJ_00698;CNPJ_00489;206387;PIX;2025-03-30;
CNPJ_01565;CNPJ_08251;1646;PIX;2025-03-16;
CNPJ_05217;CNPJ_08253;1453;PIX;2025-03-07;
CNPJ_01820;CNPJ_01825;64149;PIX;2025-03-18;
CNPJ_04186;CNPJ_04453;33429;PIX;2025-03-21;
CNPJ_03602;CNPJ_02024;406725;PIX;2025-03-05;
CNPJ_03911;CNPJ_00365;285717;TED;2025-03-28;
CNPJ_04760;CNPJ_06276;251241;PIX;2025-03-04;
CNPJ_00465;CNPJ_06268;7601;PIX;2025-03-25;
CNPJ_01086;CNPJ_08601;12303;PIX;2025-03-13;
CNPJ_02266;CNPJ_03327;56477;BOLETO;2025-03-07;
CNPJ_09214;CNPJ_06938;2142;PIX;2025-03-31;
CNPJ_09792;CNPJ_08780;29310;BOLETO;2025-03-31;
CNPJ_01613;CNPJ_00465;168278;SISTEMICO;2025-03-29;
CNPJ_00654;CNPJ_06276;31769;PIX;2025-03-11;
CNPJ_05977;CNPJ_04457;115791;PIX;2025-03-24;
CNPJ_03107;CNPJ_05456;20218;PIX;2025-03-12;
CNPJ_01032;CNPJ_01289;194658;SISTEMICO;2025-03-14;
CNPJ_07035;CNPJ_01820;192909;PIX;2025-03-28;
CNPJ_07861;CNPJ_03923;70421;SISTEMICO;2025-03-18;
CNPJ_07724;CNPJ_08161;44395;PIX;2025-03-21;
CNPJ_06213;CNPJ_01923;18396;PIX;2025-03-20;
CNPJ_07778;CNPJ_06362;123549;PIX;2025-03-06;
CNPJ_05751;CNPJ_06602;49779;PIX;2025-03-23;
CNPJ_08989;CNPJ_06276;36492;PIX;2025-03-28;
CNPJ_04306;CNPJ_09961;92080;PIX;2025-03-23;
CNPJ_01634;CNPJ_09679;24252;BOLETO;2025-03-19;
CNPJ_01112;CNPJ_07531;111465;BOLETO;2025-03-19;
CNPJ_09396;CNPJ_05683;7428;PIX;2025-03-26;
CNPJ_01531;CNPJ_05324;171060;PIX;2025-03-24;
CNPJ_05623;CNPJ_03775;27399;PIX;2025-03-23;
CNPJ_02812;CNPJ_03560;8201;TED;2025-03-04;
CNPJ_08432;CNPJ_00126;36651;PIX;2025-03-01;
CNPJ_07201;CNPJ_02715;166882;PIX;2025-03-14;
CNPJ_09022;CNPJ_05111;181979;PIX;2025-03-25;
CNPJ_05664;CNPJ_06746;112488;TED;2025-03-03;
CNPJ_00302;CNPJ_03591;92266;PIX;2025-03-06;
CNPJ_03443;CNPJ_08336;18496;PIX;2025-03-07;
CNPJ_03917;CNPJ_00095;1167;BOLETO;2025-03-07;
CNPJ_05864;CNPJ_03253;36489;PIX;2025-03-01;
CNPJ_09509;CNPJ_00962;53439;PIX;2025-03-02;
CNPJ_09841;CNPJ_09346;65793;PIX;2025-03-19;
CNPJ_01306;CNPJ_03294;131046;PIX;2025-03-25;
CNPJ_00820;CNPJ_09583;50134;PIX;2025-03-26;
CNPJ_05286;CNPJ_06704;111883;PIX;2025-03-10;
CNPJ_09978;CNPJ_02054;23001;PIX;2025-03-31;
CNPJ_00991;CNPJ_02266;177548;PIX;2025-03-10;
CNPJ_00403;CNPJ_06388;25974;TED;2025-03-22;
CNPJ_00403;CNPJ_08990;9580;PIX;2025-03-23;
CNPJ_06365;CNPJ_01648;53227;PIX;2025-03-29;
CNPJ_08872;CNPJ_03168;37473;PIX;2025-03-19;
CNPJ_08423;CNPJ_01634;2020;BOLETO;2025-03-27;
CNPJ_03210;CNPJ_06894;100668;SISTEMICO;2025-03-31;
CNPJ_08301;CNPJ_06013;13405;PIX;2025-03-12;
CNPJ_04760;CNPJ_07257;84116;PIX;2025-03-04;
CNPJ_07778;CNPJ_08263;394403;BOLETO;2025-03-18;
CNPJ_09635;CNPJ_08730;59887;BOLETO;2025-03-03;
CNPJ_07765;CNPJ_01235;130908;PIX;2025-03-24;
CNPJ_01834;CNPJ_09828;71677;PIX;2025-03-18;
CNPJ_03744;CNPJ_01936;15848;PIX;2025-03-18;
CNPJ_05552;CNPJ_02413;140746;PIX;2025-03-06;
CNPJ_00277;CNPJ_06145;167755;PIX;2025-03-27;
CNPJ_06850;CNPJ_09313;267678;PIX;2025-03-15;
CNPJ_00874;CNPJ_05278;43563;BOLETO;2025-03-01;
CNPJ_00372;CNPJ_02006;2350;BOLETO;2025-03-05;
CNPJ_02175;CNPJ_05456;21615;TED;2025-03-07;
CNPJ_02812;CNPJ_05611;168700;BOLETO;2025-03-11;
CNPJ_08730;CNPJ_05516;222107;BOLETO;2025-03-29;
CNPJ_03655;CNPJ_03928;1414;PIX;2025-03-02;
CNPJ_01663;CNPJ_03017;248838;BOLETO;2025-03-31;
CNPJ_01176;CNPJ_07322;106481;BOLETO;2025-03-29;
CNPJ_03983;CNPJ_00173;286847;PIX;2025-03-18;
CNPJ_08761;CNPJ_09606;256311;PIX;2025-03-17;
CNPJ_03325;CNPJ_04457;43835;BOLETO;2025-03-28;
CNPJ_08518;CNPJ_02420;18750;PIX;2025-03-18;
CNPJ_07457;CNPJ_09640;102820;PIX;2025-03-06;
CNPJ_00546;CNPJ_01527;36117;PIX;2025-03-17;
CNPJ_09543;CNPJ_03655;8787;PIX;2025-03-21;
CNPJ_07831;CNPJ_00414;70332;TED;2025-03-20;
CNPJ_08035;CNPJ_03206;27543;BOLETO;2025-03-22;
CNPJ_00687;CNPJ_09481;45171;PIX;2025-03-08;
CNPJ_07065;CNPJ_08210;3510;PIX;2025-03-28;
CNPJ_05332;CNPJ_06019;26789;PIX;2025-03-04;
CNPJ_08972;CNPJ_03316;78744;PIX;2025-03-02;
CNPJ_08988;CNPJ_06476;999;PIX;2025-03-09;
CNPJ_08342;CNPJ_00284;5550;PIX;2025-03-31;
CNPJ_00822;CNPJ_03211;81179;PIX;2025-03-26;
CNPJ_02460;CNPJ_04977;2733;PIX;2025-03-10;
CNPJ_00546;CNPJ_03216;127422;PIX;2025-03-05;
CNPJ_07789;CNPJ_07434;67649;PIX;2025-03-02;
CNPJ_06787;CNPJ_04860;45746;TED;2025-03-31;
CNPJ_00864;CNPJ_09498;1517;PIX;2025-03-17;
CNPJ_00444;CNPJ_00814;269678;PIX;2025-03-15;
CNPJ_04050;CNPJ_07991;84716;PIX;2025-03-07;
CNPJ_05693;CNPJ_05274;5332;PIX;2025-03-31;
CNPJ_03411;CNPJ_03254;20652;TED;2025-03-02;
CNPJ_07913;CNPJ_02764;1353;PIX;2025-03-19;
CNPJ_05963;CNPJ_07262;227272;PIX;2025-03-03;
CNPJ_00704;CNPJ_02812;202704;PIX;2025-03-15;
CNPJ_04871;CNPJ_02973;264915;PIX;2025-03-03;
CNPJ_03983;CNPJ_01775;711;PIX;2025-03-19;
CNPJ_08946;CNPJ_00091;148849;TED;2025-03-11;
CNPJ_00414;CNPJ_08345;7445;PIX;2025-03-19;
CNPJ_02715;CNPJ_02926;13664;PIX;2025-03-08;
CNPJ_04813;CNPJ_03602;65162;PIX;2025-03-03;
CNPJ_02197;CNPJ_04211;46889;PIX;2025-03-27;
CNPJ_02501;CNPJ_05963;259125;PIX;2025-03-10;
CNPJ_03927;CNPJ_08345;1017;PIX;2025-03-19;
CNPJ_06388;CNPJ_02130;40411;PIX;2025-03-04;
CNPJ_08253;CNPJ_01645;2898;BOLETO;2025-03-01;
CNPJ_08688;CNPJ_01636;9768;PIX;2025-03-10;
CNPJ_00918;CNPJ_00991;73660;PIX;2025-03-23;
CNPJ_02736;CNPJ_07991;394017;PIX;2025-03-24;
CNPJ_07384;CNPJ_05478;124478;PIX;2025-03-13;
CNPJ_01705;CNPJ_08336;39183;PIX;2025-03-01;
CNPJ_03935;CNPJ_05894;13798;PIX;2025-03-18;
CNPJ_07778;CNPJ_05620;162912;PIX;2025-03-07;
CNPJ_00089;CNPJ_01929;18051;BOLETO;2025-03-29;
CNPJ_02392;CNPJ_02248;2581;PIX;2025-03-24;
CNPJ_03446;CNPJ_04253;86535;PIX;2025-03-28;
CNPJ_03327;CNPJ_07709;159496;BOLETO;2025-03-18;
CNPJ_05611;CNPJ_09022;19399;PIX;2025-03-17;
CNPJ_09433;CNPJ_07530;4144;BOLETO;2025-03-12;
CNPJ_04453;CNPJ_06276;49568;PIX;2025-03-13;
CNPJ_08227;CNPJ_00679;258910;PIX;2025-03-07;
CNPJ_00091;CNPJ_00677;302553;PIX;2025-03-17;
CNPJ_09549;CNPJ_03230;40380;PIX;2025-03-26;
CNPJ_04927;CNPJ_09113;1051;TED;2025-03-16;
CNPJ_08343;CNPJ_07322;67492;PIX;2025-03-23;
CNPJ_05568;CNPJ_09290;34497;PIX;2025-03-07;
CNPJ_06447;CNPJ_08783;8346;PIX;2025-03-27;
CNPJ_00892;CNPJ_07264;23743;PIX;2025-03-01;
CNPJ_00395;CNPJ_06978;116032;PIX;2025-03-17;
CNPJ_04521;CNPJ_03888;20094;PIX;2025-03-24;
CNPJ_04222;CNPJ_04813;292922;SISTEMICO;2025-03-29;
CNPJ_02130;CNPJ_06328;245651;PIX;2025-03-19;
CNPJ_05381;CNPJ_08319;242700;PIX;2025-03-02;
CNPJ_09250;CNPJ_01757;87370;TED;2025-03-21;
CNPJ_05364;CNPJ_04822;148359;BOLETO;2025-03-21;
CNPJ_03294;CNPJ_07780;35474;PIX;2025-03-03;
CNPJ_09836;CNPJ_07914;98551;SISTEMICO;2025-03-28;
CNPJ_09661;CNPJ_01587;183459;PIX;2025-03-11;
CNPJ_08155;CNPJ_01284;10224;PIX;2025-03-04;
CNPJ_08951;CNPJ_00367;6432;BOLETO;2025-03-08;
CNPJ_05573;CNPJ_02413;166237;PIX;2025-03-13;
CNPJ_00816;CNPJ_03673;2906;PIX;2025-03-04;
CNPJ_02809;CNPJ_07789;74000;BOLETO;2025-03-22;
CNPJ_08241;CNPJ_04560;248827;PIX;2025-03-10;
CNPJ_07766;CNPJ_01336;121268;PIX;2025-03-18;
CNPJ_09848;CNPJ_00615;24776;TED;2025-03-26;
CNPJ_09261;CNPJ_04849;1105;PIX;2025-03-15;
CNPJ_03206;CNPJ_08007;113421;BOLETO;2025-03-28;
CNPJ_00959;CNPJ_01395;182125;PIX;2025-03-22;
CNPJ_06191;CNPJ_08409;12156;PIX;2025-03-29;
CNPJ_09498;CNPJ_04211;86005;PIX;2025-03-26;
CNPJ_09336;CNPJ_07312;489;PIX;2025-03-20;
CNPJ_09009;CNPJ_03168;25883;BOLETO;2025-03-16;
CNPJ_08560;CNPJ_09280;43394;PIX;2025-03-10;
CNPJ_02919;CNPJ_07426;135540;PIX;2025-03-19;
CNPJ_03744;CNPJ_00993;147570;PIX;2025-03-13;
CNPJ_03626;CNPJ_06792;277017;PIX;2025-03-31;
CNPJ_04929;CNPJ_07303;49992;PIX;2025-03-26;
CNPJ_00803;CNPJ_07322;10174;PIX;2025-03-12;
CNPJ_05346;CNPJ_00827;215965;BOLETO;2025-03-15;
CNPJ_08980;CNPJ_06866;6665;PIX;2025-03-14;
CNPJ_08761;CNPJ_00922;73850;TED;2025-03-01;
