ID,VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE,IDADE_EMPRESA,VL_PAGAMENTOS,QT_PAGAMENTOS,VL_RECEBIMENTOS,QT_RECEBIMENTOS,CLUSTER,MOMENTO_VIDA,CENTRALIDADE,NIVEL_DEPENDENCIA,SCORE_RISCO,PROJECAO_RECEBIMENTO
CNPJ_00001,289255,25389,2021-07-29,Extração de minério de ferro,2025-01-31,3.509924709103354,372298.0,36.0,481031.0,39.0,1,Pequeno Porte,0.003222580286698522,0.16851017195902207,28,158206.59999999998
CNPJ_00002,832495,118277,2017-02-16,Geração de energia elétrica,2025-01-31,7.956194387405886,18641.0,9.0,0.0,0.0,1,Pequeno Porte,0.000333370374486054,0.5529746258247948,56,0.0
CNPJ_00003,262869,-9899,2019-09-26,Cultivo de soja,2025-01-31,5.349760438056126,7086.0,6.0,329.0,1.0,1,Pequeno Porte,0.000333370374486054,1.0,97,329.0
CNPJ_00004,2017818,128244,2016-11-23,Transporte ferroviário de carga,2025-01-31,8.188911704312115,38.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,56,0.0
CNPJ_00005,82371,1032,2022-02-12,Produção cinematográfica,2025-01-31,2.967830253251198,18579.0,9.0,0.0,0.0,1,Pequeno Porte,0.000333370374486054,0.420690026373863,28,0.0
CNPJ_00006,18178716,-581545,2017-06-28,Comércio varejista de combustíveis,2025-01-31,7.594798083504449,8580.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,95,0.0
CNPJ_00007,1701028,26105,2020-02-09,Distribuição de energia elétrica,2025-01-31,4.97741273100616,1421.0,3.0,3352.0,6.0,1,Pequeno Porte,0.000333370374486054,1.0,57,1092.6
CNPJ_00008,1002628,-29683,2018-07-10,Extração de petróleo e gás natural,2025-01-31,6.562628336755647,32.0,1.0,0.0,0.0,1,Pequeno Porte,0.00011112345816201801,1.0,97,0.0
CNPJ_00009,166480,-11553,2019-06-14,Administração pública,2025-01-31,5.634496919917864,4477739.0,99.0,31995.0,2.0,1,Pequeno Porte,0.0038893210356706303,0.9935302390998594,97,4881531.130434782
CNPJ_00010,2233586,-105957,2014-08-12,Produção de ferro-gusa,2025-01-31,10.472279260780287,3257.0,9.0,650.0,3.0,1,Pequeno Porte,0.00044449383264807203,1.0,95,117.1
